Unnamed: 0,val_loss,val_mode_loss,val_purpose_loss,val_mode_crossentropy,val_mode_accuracy,val_purpose_crossentropy,val_purpose_accuracy,loss,mode_loss,purpose_loss,mode_crossentropy,mode_accuracy,purpose_crossentropy,purpose_accuracy,epoch,iteration
0,1.0607765378238998,1.0609116554260254,2.7457971572875977,1.0607765913009644,0.585934579372406,2.7450544834136963,0.4459812939167022,1.4065388047103782,1.4023428,3.709371,1.4065384,0.5010314,3.7169065,0.45735115,0,0
1,1.0699953117994505,1.0702080726623535,2.474435806274414,1.069995641708374,0.5848130583763123,2.473937749862671,0.4030373692512512,1.0423142042094808,1.0420613,2.6183565,1.0423143,0.5918167,2.623621,0.41915843,1,0
2,0.8762853043101658,0.8762179613113403,2.1076202392578125,0.8762854933738708,0.671401858329773,2.106852769851685,0.3890186846256256,0.9562580808255544,0.9556839,2.334661,0.9562583,0.63437545,2.3366737,0.4053594,2,0
3,0.7656181950658282,0.7655936479568481,2.0162150859832764,0.7656182646751404,0.7221962809562683,2.015588521957397,0.3762616813182831,0.8524584940704558,0.8518132,2.1603444,0.8524584,0.687689,2.1567988,0.37932345,3,0
4,0.6944847590678206,0.6943905353546143,1.969264268875122,0.6944847702980042,0.7550934553146362,1.968761086463928,0.3589719533920288,0.7757324724437473,0.7760732,2.0213225,0.7757324,0.723218,2.0162055,0.35755342,4,0
5,0.7047332326274052,0.7045987248420715,1.8725274801254272,0.7047332525253296,0.7514018416404724,1.8719279766082764,0.3365420699119568,0.7270302914720312,0.7272252,1.9665544,0.7270303,0.7426048,1.9680653,0.351445,5,0
6,0.7452270117207108,0.74531489610672,1.8553285598754885,0.7452270984649658,0.7263084053993225,1.854709267616272,0.3525233566761017,0.7007807511617313,0.6999445,1.8749818,0.70078075,0.7520178,1.8732246,0.37712044,6,0
7,0.658234698482763,0.6581635475158691,1.7991082668304443,0.6582347750663757,0.767710268497467,1.7987505197525024,0.4216355085372925,0.6801521279600758,0.68186283,1.837321,0.6801522,0.7590275,1.8392417,0.37583867,7,0
8,0.6348795452964641,0.6348700523376465,1.764054775238037,0.6348795294761658,0.7775233387947083,1.7635654211044312,0.4089719653129577,0.6612505270214256,0.66093194,1.835676,0.66125035,0.7680599,1.8356855,0.36458313,8,0
9,0.6564880857957858,0.6563959717750549,1.860379338264465,0.6564881801605225,0.7690187096595764,1.8600025177001955,0.3724766373634338,0.6542024151022273,0.6554272,1.8289117,0.6542022,0.77004266,1.8247797,0.3776211,9,0
10,0.6318793095160867,0.6319200396537781,1.7809598445892334,0.6318792700767517,0.7767757177352905,1.7806758880615234,0.4064953327178955,0.6403302464080061,0.6402684,1.8013912,0.64033026,0.7734874,1.7986292,0.3902986,10,0
11,0.6187427241557112,0.6187040209770203,1.7767537832260132,0.6187427043914795,0.7855607271194458,1.77621591091156,0.3647663593292236,0.6291327503957491,0.62956613,1.7900096,0.6291326,0.778294,1.7911524,0.3847109,11,0
12,0.6055524110348425,0.6055901646614075,1.6884286403656006,0.6055523753166199,0.7877103090286255,1.687934398651123,0.4237850606441498,0.6241367187184088,0.6247253,1.7671965,0.62413675,0.78047705,1.7680346,0.39222127,12,0
13,0.6121921733606641,0.6121591925621033,1.7269474267959597,0.6121920943260193,0.7850467562675476,1.7262996435165403,0.4004205465316772,0.6167083308857233,0.6168666,1.7341233,0.61670816,0.7825199,1.7333581,0.40229517,13,0
14,0.6162264741915409,0.6163214445114136,1.7562695741653442,0.6162264347076416,0.7865887880325317,1.7559442520141602,0.3898598253726959,0.6088260442358128,0.61027086,1.7281209,0.60882574,0.7838217,1.7323614,0.40251547,14,0
15,0.6128486986472228,0.6128894090652466,1.7036521434783936,0.6128485798835754,0.7844859957695007,1.703230381011963,0.4038317799568176,0.6057308926614042,0.606881,1.7272183,0.6057309,0.7861248,1.7235416,0.40882418,15,0
16,0.6329578483438938,0.6329904198646545,1.727195143699646,0.6329576969146729,0.7773831486701965,1.726705551147461,0.3842990696430206,0.6034933801874928,0.6038766,1.714365,0.6034933,0.7866456,1.7155399,0.4089844,16,0
17,0.6027573439785253,0.6028349995613098,1.7013483047485352,0.6027572751045227,0.7891588807106018,1.7008821964263916,0.4048130810260772,0.6025859620168083,0.6048166,1.7247623,0.6025857,0.7876269,1.7254364,0.39965153,17,0
